edificio,nome,prese,tipologia,ethernet,categoria
B10,CS.0.10,False,INFORMATIZZATA,False,AULA DIDATTICA
B10,CS.0.11,False,INFORMATIZZATA,False,AULA DIDATTICA
B10,CS.0.12,False,INFORMATIZZATA,False,AULA DIDATTICA
B10,CS.0.13,False,INFORMATIZZATA,False,AULA DIDATTICA
B10,CS.01,False,DISEGNO,False,AULA DIDATTICA
B10,CS.02,False,INFORMATIZZATA,False,AULA DIDATTICA
B10,CS.03,False,PLATEA FRONTALE,False,AULA DIDATTICA
B10,CS.04,False,PLATEA FRONTALE,False,AULA DIDATTICA
B10,CS.05,False,PLATEA FRONTALE,False,AULA DIDATTICA
B10,CS.06,True,DISEGNO,True,AULA DIDATTICA
B10,CS.07,True,DISEGNO,True,AULA DIDATTICA
B10,CS.08,False,INFORMATIZZATA,False,AULA DIDATTICA
B10,CS.09,True,DISEGNO,True,AULA DIDATTICA
B10,CS.1.1,False,INFORMATIZZATA,False,AULA DIDATTICA
B10,CS.1.2,False,INFORMATIZZATA,False,AULA DIDATTICA
B10,CS.1.3,False,INFORMATIZZATA,False,AULA DIDATTICA
B10,CS.1.4,False,INFORMATIZZATA,False,AULA DIDATTICA
B10,CS.1.5,False,INFORMATIZZATA,False,AULA DIDATTICA
B10,CS.16,True,DISEGNO,False,AULA DIDATTICA
B10,CS.1.7,False,INFORMATIZZATA,False,AULA DIDATTICA
B10,CS.18,False,DISEGNO,False,AULA DIDATTICA
B10,CS.21,False,DISEGNO,False,AULA DIDATTICA
B10,CS.22,True,DISEGNO,True,AULA DIDATTICA
B10,CS.23,False,DISEGNO,False,AULA DIDATTICA
B10,CS.24,True,DISEGNO,True,AULA DIDATTICA
B10,CS.25,False,DISEGNO,False,AULA DIDATTICA
B2,B2.0.1 (EX CT.68),False,DISEGNO,False,AULA DIDATTICA
B2,B2.1.1 (EX CT.49),False,PLATEA FRONTALE,False,AULA DIDATTICA
B2,B2.1.10 (EX CT.42),False,DISEGNO,False,AULA DIDATTICA
B2,B2.1.11 (EX CT.52.1),False,DISEGNO,False,AULA DIDATTICA
B2,B2.1.12 (EX CT.52),False,DISEGNO,False,AULA DIDATTICA
B2,B2.1.13 (EX CT.51),False,DISEGNO,False,AULA DIDATTICA
B2,B2.1.14 (EX CT.51.1),False,DISEGNO,False,AULA DIDATTICA
B2,B2.1.15 (EX CT.50),False,DISEGNO,False,AULA DIDATTICA
B2,B2.1.16 (EX CT.49.1),True,PLATEA FRONTALE,False,AULA DIDATTICA
B2,B2.1.2 (EX CT.48),False,DISEGNO,False,AULA DIDATTICA
B2,B2.1.3 (EX CT47),False,DISEGNO,False,AULA DIDATTICA
B2,B2.1.5 (EX CT.46.1),False,DISEGNO,False,AULA DIDATTICA
B2,B2.1.6 (EX CT.45),False,DISEGNO,False,AULA DIDATTICA
B2,B2.1.8 (EX CT.44),False,DISEGNO,False,AULA DIDATTICA
B2,B2.1.9 (EX CT.43),False,PLATEA FRONTALE,False,AULA DIDATTICA
B2,B2.2.1 (EX CT.60),False,PLATEA FRONTALE,False,AULA DIDATTICA
B2,B2.2.10 (EX CT.53),False,DISEGNO,False,AULA DIDATTICA
B2,B2.2.11 (EX CT.63),False,PLATEA FRONTALE,False,AULA DIDATTICA
B2,B2.2.12 (EX CT.62.1),True,PLATEA FRONTALE,False,AULA DIDATTICA
B2,B2.2.13 (EX CT.62),False,PLATEA FRONTALE,False,AULA DIDATTICA
B2,B2.2.14 (EX CT.61),False,DISEGNO,False,AULA DIDATTICA
B2,B2.2.15 (EX CT.60.1),True,PLATEA FRONTALE,False,AULA DIDATTICA
B2,B2.2.2 (EX CT.59),False,DISEGNO,False,AULA DIDATTICA
B2,B2.2.3 (EX CT.58),False,DISEGNO,False,AULA DIDATTICA
B2,B2.2.4 (EX CT.57),False,PLATEA FRONTALE,False,AULA DIDATTICA
B2,B2.2.5 (EX CT.56.1),True,PLATEA FRONTALE,False,AULA DIDATTICA
B2,B2.2.6 (EX CT.56),False,PLATEA FRONTALE,False,AULA DIDATTICA
B2,B2.2.7 (EX CT.55),False,DISEGNO,False,AULA DIDATTICA
B2,B2.2.8 (CT.54),False,PLATEA FRONTALE,False,AULA DIDATTICA
B2,B2.2.9 (EX CT.53.1),True,PLATEA FRONTALE,False,AULA DIDATTICA
B2,B2.3.1 (EX.67),False,DISEGNO,False,AULA DIDATTICA
